predictor_course_name,predictor_skill,avg_r,avg_weighted_score,avg_r_squared,years_observed,years_strong,pct_years_positive,avg_shared_players,decay_lift,last_played,tournament,as_of_date
Trinity Forest Golf Club,sg_arg,-0.0345,-0.0065,0.0012,2,0,0.0,46.5,0.0,2019-05-12,The Memorial,2026-06-04
Innisbrook Resort and Golf Club - Copperhead Course,sg_arg,-0.0014,-0.0071,0.0233,18,2,0.5,70.8333,0.0,2025-03-23,The Memorial,2026-06-04
Colonial Country Club,sg_ott,-0.0115,-0.0075,0.0125,20,2,0.45,72.9,0.0,2025-05-25,The Memorial,2026-06-04
Quail Hollow Club,sg_arg,0.0061,-0.0086,0.017,5,1,0.6,74.6,0.0,2024-05-12,The Memorial,2026-06-04
Arnold Palmer's Bay Hill Club & Lodge,sg_ott,-0.0083,-0.0088,0.0136,21,2,0.476,76.2857,0.0,2025-03-09,The Memorial,2026-06-04
Waialae Country Club,sg_ott,-0.0091,-0.0091,0.0308,20,5,0.5,62.8,0.0,2025-01-12,The Memorial,2026-06-04
Waialae Country Club,sg_arg,-0.016,-0.0093,0.0102,20,2,0.4,62.8,0.0,2025-01-12,The Memorial,2026-06-04
Quail Hollow Club,sg_ott,-0.0111,-0.0105,0.0161,12,3,0.5,83.5,0.0,2024-05-12,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_arg,-0.0127,-0.0106,0.0214,20,2,0.45,44.0,0.0,2025-02-16,The Memorial,2026-06-04
TPC Sawgrass - THE PLAYERS Stadium Course,sg_app,-0.0175,-0.0107,0.0075,21,2,0.333,90.3333,0.0,2025-03-16,The Memorial,2026-06-04
Waialae Country Club,sg_app,-0.0113,-0.011,0.0111,20,2,0.5,62.8,0.0,2025-01-12,The Memorial,2026-06-04
Waialae Country Club,sg_total,-0.0196,-0.0113,0.0133,20,1,0.35,62.8,0.0,2025-01-12,The Memorial,2026-06-04
Cottonwood Valley GC,sg_ott,-0.0548,-0.012,0.0033,3,0,0.0,25.6667,0.0,2007-04-29,The Memorial,2026-06-04
Quail Hollow Club,sg_total,-0.0026,-0.0126,0.0202,12,2,0.583,83.5,0.0,2024-05-12,The Memorial,2026-06-04
PGA National  - Champion Course,sg_putt,-0.0268,-0.015,0.0042,2,0,0.5,39.5,0.0,2025-03-02,The Memorial,2026-06-04
TPC Sawgrass - THE PLAYERS Stadium Course,sg_ott,-0.0137,-0.0164,0.0102,21,1,0.524,90.3333,0.0,2025-03-16,The Memorial,2026-06-04
The Riviera Country Club,sg_putt,-0.0266,-0.0175,0.0073,19,0,0.368,80.1579,0.0,2024-02-18,The Memorial,2026-06-04
Vidanta Vallarta,sg_total,-0.0471,-0.0197,0.0816,4,2,0.5,28.75,0.0,2025-02-23,The Memorial,2026-06-04
Vidanta Vallarta,sg_arg,-0.0384,-0.0214,0.0477,4,1,0.5,28.75,0.0,2025-02-23,The Memorial,2026-06-04
TPC Craig Ranch,sg_total,-0.0191,-0.0228,0.0123,2,0,0.5,55.5,0.0,2025-05-04,The Memorial,2026-06-04
Grand Reserve Golf Club,sg_total,-0.0229,-0.0236,0.0505,15,4,0.467,24.2667,0.0,2023-03-05,The Memorial,2026-06-04
TPC Sawgrass - THE PLAYERS Stadium Course,sg_total,-0.0357,-0.0241,0.0084,21,0,0.238,90.3333,0.0,2025-03-16,The Memorial,2026-06-04
Harbour Town Golf Links,sg_arg,-0.0275,-0.0256,0.0152,21,1,0.476,74.1905,0.0,2025-04-20,The Memorial,2026-06-04
Memorial Park Golf Course,sg_ott,-0.0441,-0.0264,0.0081,2,0,0.5,32.0,0.0,2025-03-30,The Memorial,2026-06-04
Pebble Beach Golf Links,sg_arg,-0.0396,-0.0275,0.0276,20,3,0.45,26.45,0.0,2025-02-02,The Memorial,2026-06-04
PGA West (Nicklaus),sg_app,-0.0054,-0.0297,0.091,7,3,0.571,20.1429,0.0,2015-01-25,The Memorial,2026-06-04
Golf Club of Houston,sg_arg,-0.0343,-0.0336,0.0137,12,0,0.417,70.3333,0.0,2018-04-01,The Memorial,2026-06-04
Torrey Pines Golf Course (South Course),sg_app,-0.0257,-0.0339,0.025,20,2,0.6,44.0,0.0,2025-02-16,The Memorial,2026-06-04
Vidanta Vallarta,sg_app,-0.0498,-0.0343,0.0411,4,1,0.5,28.75,0.0,2025-02-23,The Memorial,2026-06-04
TPC Craig Ranch,sg_ott,-0.0435,-0.0349,0.0074,2,0,0.5,55.5,0.0,2025-05-04,The Memorial,2026-06-04
